,individual,loss
20,OSBS_contrib6876,0.79575604
21,OSBS_contrib6877,0.9829813
22,OSBS_contrib6880,0.90765864
24,OSBS_contrib6905,0.7468235
25,OSBS_contrib6908,0.9322586
36,OSBS_contrib6960,0.84200567
54,OSBS_contrib6951,0.6178401
55,OSBS_contrib6994,0.5345147
56,OSBS_contrib4014,0.9836995
57,OSBS_contrib4015,0.9965383
59,OSBS_contrib6912,0.78784
60,OSBS_contrib6916,0.78782105
61,OSBS_contrib6918,0.9836987
2,OSBS_contrib6941,0.6506442
3,OSBS_contrib6952,0.77557325
4,OSBS_contrib6953,0.7755661
7,OSBS_contrib6963,0.67824227
12,OSBS_contrib6989,0.805409
13,OSBS_contrib6993,0.91984785
14,OSBS_contrib6997,0.83392984
30,OSBS_contrib4043,0.7230009
43,OSBS_contrib4026,0.85973984
49,OSBS_contrib7013,0.5007935
50,OSBS_contrib7014,0.6905074
53,OSBS_contrib7018,0.6938284
54,OSBS_contrib7024,0.99570084
56,OSBS_contrib7037,0.5875386
60,OSBS_contrib7047,0.7853403
18,OSBS_contrib4083,0.49162024
22,OSBS_contrib4088,0.5307869
29,OSBS_contrib4091,0.48742226
43,OSBS_contrib7058,0.9517325
53,OSBS_contrib4074,0.7824073
57,OSBS_contrib4087,0.488648
6,OSBS_contrib7059,0.52106
8,OSBS_contrib7062,0.50550073
12,OSBS_contrib7068,0.6626319
13,OSBS_contrib4216,0.49049425
27,OSBS_contrib4163,0.90268713
33,OSBS_contrib4214,0.5884966
34,OSBS_contrib4186,0.7255164
37,OSBS_contrib4060,0.5550771
42,OSBS_contrib7071,0.5249474
47,OSBS_contrib4159,0.51771384
50,OSBS_contrib4178,0.77759755
51,OSBS_contrib4192,0.77769923
52,OSBS_contrib4197,0.9414639
53,OSBS_contrib4198,0.5019484
57,OSBS_contrib4223,0.6033227
63,OSBS_contrib4250,0.50615096
22,OSBS_contrib4227,0.6711488
23,OSBS_contrib7095,0.6711488
31,OSBS_contrib7094,0.49874577
36,OSBS_contrib7138,0.51028377
37,OSBS_contrib3631,0.5192233
39,OSBS_contrib4237,0.50179553
40,OSBS_contrib4239,0.75187284
41,OSBS_contrib4242,0.52372974
42,OSBS_contrib4244,0.8233807
45,OSBS_contrib7092,0.66899586
47,OSBS_contrib7098,0.6677961
48,OSBS_contrib7106,0.79258984
49,OSBS_contrib7110,0.6959949
50,OSBS_contrib7131,0.51080376
51,OSBS_contrib7134,0.49461553
52,OSBS_contrib7135,0.93810296
53,OSBS_contrib7136,0.94613016
55,OSBS_contrib7141,0.5340994
57,OSBS_contrib7145,0.6053209
61,OSBS_contrib7165,0.49684325
1,OSBS_contrib4258,0.5286833
2,OSBS_contrib4279,0.60139
6,OSBS_contrib4266,0.54296184
13,OSBS_contrib4257,0.5227976
15,OSBS_contrib4270,0.5025406
19,OSBS_contrib7178,0.57256144
20,OSBS_contrib7179,0.5725105
24,OSBS_contrib4289,0.6487769
25,OSBS_contrib7169,0.55152243
29,OSBS_contrib7093,0.5107948
37,OSBS_contrib4271,0.74146885
38,OSBS_contrib4276,0.86304706
41,OSBS_contrib7163,0.48909795
45,OSBS_contrib7186,0.93329155
46,OSBS_contrib7190,0.5938272
48,OSBS_contrib7232,0.50038326
55,OSBS_contrib4311,0.5253073
61,OSBS_contrib4337,0.52098835
0,OSBS_contrib4351,0.5017765
2,OSBS_contrib4310,0.50047964
5,OSBS_contrib4349,0.5247246
11,OSBS_contrib4353,0.4875152
14,OSBS_contrib4336,0.5019397
19,OSBS_contrib4314,0.59449863
21,OSBS_contrib7235,0.71865577
23,OSBS_contrib4315,0.67794955
27,OSBS_contrib4350,0.6613087
29,OSBS_contrib7220,0.4883431
33,OSBS_contrib4309,0.4947406
38,OSBS_contrib7173,0.6046762
41,OSBS_contrib7221,0.51547533
42,OSBS_contrib7223,0.57649964
44,OSBS_contrib7233,0.7281259
45,OSBS_contrib7234,0.6798786
58,OSBS_contrib4379,0.70275444
5,OSBS_contrib4296,0.7699984
6,OSBS_contrib4362,0.59433293
11,OSBS_contrib4384,0.5055498
13,OSBS_contrib4396,0.74633706
14,OSBS_contrib7238,0.50305647
